Height(Inches),Height(cm),Height(mm),Height(feet)
65.78331,167.0896074,1670.896074,5.48192057223
71.51521,181.6486334,1816.486334,5.95957699493
69.39874,176.2727996,1762.727996,5.78320520042
68.2166,173.270164,1732.70164,5.6846939278
67.78781,172.1810374,1721.810374,5.64896157073
68.69784,174.4925136,1744.925136,5.72479710072
69.80204,177.2971816,1772.971816,5.81681339932
70.01472,177.8373888,1778.373888,5.83453666176
67.90265,172.472731,1724.72731,5.65853153245
66.78236,169.6271944,1696.271944,5.56517440588
66.48769,168.8787326,1688.787326,5.54061867077
67.62333,171.7632582,1717.632582,5.63525495889
68.30248,173.4882992,1734.882992,5.69185056584
67.11656,170.4760624,1704.760624,5.59302429448
68.27967,173.4303618,1734.303618,5.68994974011
71.0916,180.572664,1805.72664,5.9242763028
66.461,168.81094,1688.1094,5.538394513
68.64927,174.3691458,1743.691458,5.72074961691
71.23033,180.9250382,1809.250382,5.93583708989
67.13118,170.5131972,1705.131972,5.59424262294
67.83379,172.2978266,1722.978266,5.65279322207
68.87881,174.9521774,1749.521774,5.73987787373
63.48115,161.242121,1612.42121,5.29007467295
68.42187,173.7915498,1737.915498,5.70179969271
67.62804,171.7752216,1717.752216,5.63564745732
67.20864,170.7099456,1707.099456,5.60069759712
70.84235,179.939569,1799.39569,5.90350555255
67.49434,171.4356236,1714.356236,5.62450583522
66.53401,168.9963854,1689.963854,5.54447865533
65.44098,166.2200892,1662.200892,5.45339318634
69.5233,176.589182,1765.89182,5.7935851589
65.8132,167.165528,1671.65528,5.4844113956
67.8163,172.253402,1722.53402,5.6513357279
70.59505,179.311427,1793.11427,5.88289730165
71.80484,182.3842936,1823.842936,5.98371273172
69.20613,175.7835702,1757.835702,5.76715443129
66.80368,169.6813472,1696.813472,5.56695106544
67.65893,171.8536822,1718.536822,5.63822161369
67.80701,172.2298054,1722.298054,5.65056156433
64.04535,162.675189,1626.75189,5.33709115155
68.57463,174.1795602,1741.795602,5.71452964179
65.18357,165.5662678,1655.662678,5.43194243881
69.65814,176.9316756,1769.316756,5.80482178062
67.96731,172.6369674,1726.369674,5.66391984423
65.98088,167.5914352,1675.914352,5.49838467304
68.67249,174.4281246,1744.281246,5.72268460917
66.88088,169.8774352,1698.774352,5.57338437304
67.69868,171.9546472,1719.546472,5.64153410044
69.82117,177.3457718,1773.457718,5.81840755961
69.08817,175.4839518,1754.839518,5.75732447061
